Geography,Name,Level,units_cert_2000,units_cert_2001,units_cert_2002,units_cert_2003,units_cert_2004,units_cert_2005,units_cert_2006,units_cert_2007,units_cert_2008,units_cert_2009,units_cert_2010,units_cert_2011,units_cert_2012,units_cert_2013,units_cert_2014,units_cert_2015,units_cert_2016,units_cert_2017,units_cert_2018,units_cert_2019,units_cert_2020
NYC,New York City,City,"13,603","14,289","15,024","17,192","19,052","19,688","24,982","25,835","23,356","23,320","21,913","17,072","9,680","14,964","13,224","16,101","23,679","25,297","27,982","24,496","20,050"
BX,The Bronx,Boro,"1,390","1,577","1,548","1,438","3,146","2,943","4,226","4,417","4,142","2,903","4,192","3,346","1,882","1,478","1,780","2,574","2,457","2,769","4,757","4,317","4,433"
BK,Brooklyn,Boro,"1,611","2,465","2,384","4,653","4,598","4,911","6,129","6,931","7,168","7,512","7,066","4,533","3,585","4,562","4,385","5,622","8,942","11,051","9,441","10,264","8,816"
MN,Manhattan,Boro,"5,057","5,859","6,866","4,718","6,269","5,223","7,028","7,584","5,569","6,901","6,496","5,801","1,078","4,013","3,648","4,085","7,573","5,490","6,597","4,832","3,608"
QN,Queens,Boro,"2,181","1,594","2,380","2,962","2,779","4,692","5,743","5,469","5,464","5,130","3,532","2,782","2,537","4,152","2,992","3,154","3,457","5,300","6,326","4,429","2,689"
SI,Staten Island,Boro,"3,364","2,794","1,846","3,421","2,260","1,919","1,856","1,434","1,013",874,627,610,598,759,419,666,"1,250",687,861,654,504
BX 01,Mott Haven/Melrose,Community District,124,371,308,202,297,395,530,489,254,217,550,838,478,16,289,314,278,333,"1,106",535,779
BX 02,Hunts Point/Longwood,Community District,68,0,112,54,109,169,549,215,458,282,220,309,15,122,0,0,141,74,54,397,542
BX 03,Morrisania/Crotona,Community District,90,391,129,142,330,556,637,556,"1,013",230,"1,313",744,209,635,277,418,644,613,479,863,750
BX 04,Highbridge/Concourse,Community District,331,0,37,244,586,436,293,808,359,59,423,49,149,44,303,85,131,356,551,276,261
BX 05,Fordham/University Heights,Community District,54,0,136,112,130,85,264,286,96,425,295,197,152,0,312,205,19,222,224,185,304
BX 06,Belmont/East Tremont,Community District,208,109,109,52,407,297,486,441,701,276,222,382,154,23,154,413,202,332,"1,125",872,613
BX 07,Kingsbridge Heights/Bedford,Community District,0,2,3,0,50,85,170,182,98,148,483,62,172,87,154,210,157,248,750,236,528
BX 08,Riverdale/Fieldston,Community District,73,67,6,27,155,200,95,95,257,136,27,26,261,76,6,68,206,137,102,174,54
