Geography,Name,Level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NYC,New York City,City,9,9,10,9.4,8.4,8.3,11.5,17.1,16.9,23.2,19.1,13.4,14.2,18.6,15.2,14.2,13.3,11.4,9.7,8.7,3.6
BX,The Bronx,Boro,10.4,13.3,14.3,13,11.7,10.1,14.7,19.7,19,22.9,23,18.5,20.5,27.7,22.1,22.1,20,15.3,12.7,11.1,4.7
BK,Brooklyn,Boro,10.9,10.2,12.6,12,10.4,10.7,14.4,21.3,19.6,26.6,23.2,17.8,15.4,20.5,17.6,14.8,14.6,13.8,11.4,10.3,4.7
MN,Manhattan,Boro,3.6,3,4.4,2.8,2.3,1.7,2,2.2,2.5,9.5,8.1,4.3,3.5,4.2,3.2,2.6,2.5,2.2,2.2,2.9,0.9
QN,Queens,Boro,9,9,9.4,8.9,8.1,8.2,12.3,20,20.4,26.9,20.1,13.4,16.4,20.4,16.1,16.1,14.4,11.8,10.4,9.3,3.8
SI,Staten Island,Boro,6.8,6.7,6.2,6.7,6.9,6.8,8.5,10.8,13.1,18.6,14.6,8.9,11.1,16.4,13.7,12.9,13.1,11.5,9.2,7.8,2.7
BX 01,Mott Haven/Melrose,Community District,16.5,14.4,13.2,11.5,13.4,9.7,12.9,18.7,15.8,24.4,28.9,15.3,23,25.2,20.3,19.4,13.1,12.2,9.8,13.7,4
BX 02,Hunts Point/Longwood,Community District,20.8,27,24.3,15.7,17.3,25.5,20.6,29.5,27.2,39.7,29.4,23.2,40.4,50,35,29.5,30.9,22.7,11,21.4,5.5
BX 03,Morrisania/Crotona,Community District,17.3,26.8,33.6,27,17.2,18.8,27.7,40.3,28.1,28.5,46.2,33.1,30,46.1,36.9,41.9,29.5,25.4,23.6,10.6,12.1
BX 04,Highbridge/Concourse,Community District,21.9,35.9,22.1,19,21.1,20.1,36.5,38.7,47,48.4,44.1,39.6,39.6,54.5,51.8,44.7,46.9,27.8,20,29.3,10.1
BX 05,Fordham/University Heights,Community District,21.2,30.2,29.4,25.4,20.2,22,31.7,31.9,37.9,41.2,39.7,27.4,42,38.5,44,41,27,27.2,17.5,13.8,3.2
BX 06,Belmont/East Tremont,Community District,23.1,25.2,28.2,28.6,23.5,15.5,36.5,46,37.4,38.2,40,31.7,34.9,53.5,34.2,41.5,26.8,26.5,13,13.5,8.1
BX 07,Kingsbridge Heights/Bedford,Community District,20.6,29.8,28.6,23.5,22.9,15.4,31.2,33.4,32.5,31.7,30.7,33.7,33.1,40.6,34.4,21.6,27,15.9,11.9,15.4,1.8
BX 08,Riverdale/Fieldston,Community District,2.2,5.5,4.9,6.2,5.6,4.3,7.3,6.7,9.3,15.6,9.6,8,10.3,12.7,11.1,9,7.9,6.3,4.1,5.7,2.5
BX 09,Parkchester/Soundview,Community District,9.3,10.9,10.8,9.9,8.3,6.6,9.4,13.3,11,14.8,15.7,12,13.9,18.6,14.2,15.4,14,10.4,8.3,7.1,3.3
BX 10,Throgs Neck/Co-op City,Community District,4.8,5.2,6.4,6.4,6.1,5.2,8.3,10.4,12.7,16.4,18.3,14.3,13.6,21.5,15,17,14.5,9.7,11.3,8.3,3.1
BX 11,Morris Park/Bronxdale,Community District,6.8,9.6,11.2,12.1,8.8,9,12.1,15.3,16.1,19.1,18.3,15.5,17.1,19.5,15.6,17.7,15.4,11.8,10,7.7,4.5
